action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2629449,[],CHEMBL1001516,Inhibition of Voltage-gated sodium channel subunit alpha Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3ccccc3O2)CC1,,,CHEMBL1137005,Bioorg Med Chem Lett,2009,,CHEMBL495995,,CHEMBL495995,,0,http://www.openphacts.org/units/Nanomolar,784778,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,2629458,[],CHEMBL1001516,Inhibition of Voltage-gated sodium channel subunit alpha Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)Cc3ccc(Cl)cc3Cl)CC1)O2,,,CHEMBL1137005,Bioorg Med Chem Lett,2009,,CHEMBL497829,,CHEMBL497829,,0,http://www.openphacts.org/units/Nanomolar,784781,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,2679380,[],CHEMBL1053972,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1noc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)n1,,,CHEMBL1152451,J Med Chem,2009,,CHEMBL564547,,CHEMBL564547,,0,http://www.openphacts.org/units/Nanomolar,824136,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,2679470,[],CHEMBL1053972,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ncccn3)no2)CC1,,,CHEMBL1152451,J Med Chem,2009,,CHEMBL551517,,CHEMBL551517,,0,http://www.openphacts.org/units/Nanomolar,824313,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,2679509,[],CHEMBL1053972,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC1CCc2ccccc2CC1)N1CCC(c2nc(-c3ccccn3)no2)CC1,,,CHEMBL1152451,J Med Chem,2009,,CHEMBL562926,,CHEMBL562926,,0,http://www.openphacts.org/units/Nanomolar,824425,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,3230791,[],CHEMBL1100152,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(c2ccccc2)CCCN(C(=O)NCc2ccc(-c3cccc(Cl)c3)cc2)C1,,,CHEMBL1154229,Bioorg Med Chem Lett,2009,"{'bei': '11.93', 'le': '0.23', 'lle': '-1.27', 'sei': '15.46'}",CHEMBL1080975,,CHEMBL1080975,5,0,http://www.openphacts.org/units/Nanomolar,899425,=,1,1,=,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,3231932,[],CHEMBL1100152,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,,,CHEMBL1154229,Bioorg Med Chem Lett,2009,,CHEMBL1077781,,CHEMBL1077781,,0,http://www.openphacts.org/units/Nanomolar,898024,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,3232041,[],CHEMBL1100152,Inhibition of Nav1.5 channel,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,,,CHEMBL1154229,Bioorg Med Chem Lett,2009,,CHEMBL1079246,,CHEMBL1079246,,0,http://www.openphacts.org/units/Nanomolar,898186,>,1,1,>,,IC50,nM,,10000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,10
,,6254801,[],CHEMBL1799748,Inhibition of Nav1.5 by cell based whole-cell voltage clamp electrophysiology assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1onc(-c2c(Cl)cccc2Cl)c1CC(=O)NCc1ccc(OC(C)C)nc1,,,CHEMBL1795246,Bioorg Med Chem Lett,2011,"{'bei': '12.27', 'le': '0.25', 'lle': '0.33', 'sei': '6.90'}",CHEMBL1797409,,CHEMBL1797409,5.33,0,http://www.openphacts.org/units/Nanomolar,1437899,=,1,1,=,,IC50,nM,,4677.35,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.33
,,6254808,[],CHEMBL1799748,Inhibition of Nav1.5 by cell based whole-cell voltage clamp electrophysiology assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1onc(-c2c(Cl)cccc2Cl)c1N(C)C(=O)NCc1ccc(OC2CCOCC2)nc1,,,CHEMBL1795246,Bioorg Med Chem Lett,2011,"{'bei': '10.64', 'le': '0.22', 'lle': '-0.03', 'sei': '5.83'}",CHEMBL1797402,,CHEMBL1797402,5.23,0,http://www.openphacts.org/units/Nanomolar,1437892,=,1,1,=,,IC50,nM,,5888.44,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.23
,,6254811,[],CHEMBL1799748,Inhibition of Nav1.5 by cell based whole-cell voltage clamp electrophysiology assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C)c1-c1noc(C)c1NC(=O)OCc1c(F)cccc1Cl,,,CHEMBL1795246,Bioorg Med Chem Lett,2011,"{'bei': '13.14', 'le': '0.26', 'lle': '-0.70', 'sei': '7.94'}",CHEMBL1797399,,CHEMBL1797399,5.11,0,http://www.openphacts.org/units/Nanomolar,1437889,=,1,1,=,,IC50,nM,,7762.47,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.11
,,6254817,[],CHEMBL1799748,Inhibition of Nav1.5 by cell based whole-cell voltage clamp electrophysiology assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1onc(-c2c(Cl)cccc2Cl)c1N(C)C(=O)OCc1ccc(OC(C)C)nc1,,,CHEMBL1795246,Bioorg Med Chem Lett,2011,,CHEMBL1797393,,CHEMBL1797393,,0,http://www.openphacts.org/units/Nanomolar,1437883,<,1,1,>,,IC50,nM,,28840.32,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,4.54
,,6254818,[],CHEMBL1799748,Inhibition of Nav1.5 by cell based whole-cell voltage clamp electrophysiology assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1onc(-c2c(Cl)cccc2Cl)c1NC(=O)OCc1ccc(OC2CCCC2)nc1,,,CHEMBL1795246,Bioorg Med Chem Lett,2011,"{'bei': '12.70', 'le': '0.26', 'lle': '-0.55', 'sei': '6.79'}",CHEMBL1797392,,CHEMBL1797392,5.87,0,http://www.openphacts.org/units/Nanomolar,1437882,=,1,1,=,,IC50,nM,,1348.96,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.87
,,7925901,[],CHEMBL1918926,Inhibition of human cloned Nav1.5 channel expressed in chinese hamster CHO cells assessed as tonic inhibition after 5 mins by patch clamp assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cl.O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,,,CHEMBL1914304,J Med Chem,2011,,CHEMBL1914835,,CHEMBL1963280,,0,http://www.openphacts.org/units/Nanomolar,1556946,>,1,1,>,,IC50,nM,,5000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,5
,,10834816,[],CHEMBL2013360,Antagonist activity at human partially inactivated NaV 1.5 channel expressed in HEK293 cells by PatchXpress voltage patch clamp assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccnc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,,,CHEMBL2010700,Bioorg Med Chem Lett,2012,,CHEMBL2011950,,CHEMBL2011950,6.3,0,http://www.openphacts.org/units/Nanomolar,1632447,=,1,1,=,,IC50,nM,,500,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.5
,,10834835,[],CHEMBL2013360,Antagonist activity at human partially inactivated NaV 1.5 channel expressed in HEK293 cells by PatchXpress voltage patch clamp assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1cncc(Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)n1,,,CHEMBL2010700,Bioorg Med Chem Lett,2012,,CHEMBL2010816,,CHEMBL2010816,5.9,0,http://www.openphacts.org/units/Nanomolar,1632555,=,1,1,=,,IC50,nM,,1260,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,1.26
,,10836637,[],CHEMBL2013637,Antagonist activity at human NaV1.5 channel by patchXpress assay,F,,,BAO_0000190,BAO_0000019,assay format,Fc1c(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)cccc1C(F)(F)F,,,CHEMBL2010651,Bioorg Med Chem Lett,2012,,CHEMBL2012273,,CHEMBL2012273,7.4,0,http://www.openphacts.org/units/Nanomolar,1632856,=,1,1,=,,IC50,nM,,40,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.04
,,10836642,[],CHEMBL2013637,Antagonist activity at human NaV1.5 channel by patchXpress assay,F,,,BAO_0000190,BAO_0000019,assay format,Cn1cc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)cn1,,,CHEMBL2010651,Bioorg Med Chem Lett,2012,,CHEMBL2012283,,CHEMBL2012283,6.36,0,http://www.openphacts.org/units/Nanomolar,1632866,=,1,1,=,,IC50,nM,,440,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.44
,,10836643,[],CHEMBL2013637,Antagonist activity at human NaV1.5 channel by patchXpress assay,F,,,BAO_0000190,BAO_0000019,assay format,Cc1nc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)cs1,,,CHEMBL2010651,Bioorg Med Chem Lett,2012,,CHEMBL2012285,,CHEMBL2012285,7.1,0,http://www.openphacts.org/units/Nanomolar,1632868,=,1,1,=,,IC50,nM,,80,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.08
,,10836654,[],CHEMBL2013637,Antagonist activity at human NaV1.5 channel by patchXpress assay,F,,,BAO_0000190,BAO_0000019,assay format,Fc1c(Cl)cccc1Cn1ccc2c(OC3CCN(Cc4ccccn4)CC3)ncnc21,,,CHEMBL2010651,Bioorg Med Chem Lett,2012,,CHEMBL2012300,,CHEMBL2012300,7.1,0,http://www.openphacts.org/units/Nanomolar,1632883,=,1,1,=,,IC50,nM,,80,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.08
,,10854151,[],CHEMBL2020459,Blockade of human full-length NaV1.5 expressed in HEK293 cells co-transfected with pCD8-IRES-hbeta1 assessed as 0.1 Hz of half-maximal tonic-induced channel current at -120 mV holding potential after 36 to 72 hrs by patch clamp assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C)c1OCC(C)N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2016510,J Med Chem,2012,,CHEMBL558,MEXILETINE,CHEMBL558,,0,http://www.openphacts.org/units/Nanomolar,1636285,=,1,1,=,,IC50,nM,,420000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,420
,,10988041,[],CHEMBL2072751,Inhibition of human NaV1.5 expressed in CHO cells by IonWorks assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN1CCN(c2cccc3c2C[C@H](NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)CC1,,,CHEMBL2069242,Bioorg Med Chem Lett,2012,"{'bei': '11.77', 'le': '0.23', 'lle': '2.79', 'sei': '7.92'}",CHEMBL2069401,,CHEMBL2069401,5.3,0,http://www.openphacts.org/units/Nanomolar,1661132,=,1,1,=,,IC50,nM,,5011.87,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.3
,,10988042,[],CHEMBL2072751,Inhibition of human NaV1.5 expressed in CHO cells by IonWorks assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN1CCN(c2cccc3c2C[C@H](NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)CC1,,,CHEMBL2069242,Bioorg Med Chem Lett,2012,"{'bei': '11.41', 'le': '0.22', 'lle': '2.40', 'sei': '7.92'}",CHEMBL2069402,,CHEMBL2069402,5.3,0,http://www.openphacts.org/units/Nanomolar,1661133,=,1,1,=,,IC50,nM,,5011.87,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.3
,,10988058,[],CHEMBL2072751,Inhibition of human NaV1.5 expressed in CHO cells by IonWorks assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCCn1nc(C)c(C(=O)N[C@@H]2COc3cccc(-c4cccnc4)c3C2)n1,,,CHEMBL2069242,Bioorg Med Chem Lett,2012,,CHEMBL2069418,,CHEMBL2069418,,0,http://www.openphacts.org/units/Nanomolar,1661149,<,1,1,>,,IC50,nM,,31622.78,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,4.5
,,10988065,[],CHEMBL2072751,Inhibition of human NaV1.5 expressed in CHO cells by IonWorks assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cnc(-c2cccc3c2C[C@H](NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cn1,,,CHEMBL2069242,Bioorg Med Chem Lett,2012,,CHEMBL2069425,,CHEMBL2069425,,0,http://www.openphacts.org/units/Nanomolar,1661156,<,1,1,>,,IC50,nM,,25118.86,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,4.6
,,12044208,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ncc(-c2ccccc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,"{'bei': '12.31', 'le': '0.23', 'lle': '1.15', 'sei': '6.88'}",CHEMBL2147214,,CHEMBL2147214,5.3,0,http://www.openphacts.org/units/Nanomolar,1728090,=,1,1,=,,IC50,nM,,5011.87,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.3
,,12044209,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCc1ccccc1-c1ccc(CO)nc1)c1ccc(OCCC(F)(F)F)nc1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,,CHEMBL2147215,,CHEMBL2147215,,0,http://www.openphacts.org/units/Nanomolar,1728091,<,1,1,>,,IC50,nM,,12589.25,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,4.9
,,12044213,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ncc(-c2ccccc2CCNC(=O)c2ccc(C(=O)NCCCC(F)(F)F)nc2)cn1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,"{'bei': '11.03', 'le': '0.21', 'lle': '1.31', 'sei': '5.37'}",CHEMBL2147219,,CHEMBL2147219,5.2,0,http://www.openphacts.org/units/Nanomolar,1728095,=,1,1,=,,IC50,nM,,6309.57,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.2
,,12044221,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ncc(-c2cccc(OC(F)F)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,"{'bei': '9.95', 'le': '0.19', 'lle': '0.65', 'sei': '5.34'}",CHEMBL2147304,,CHEMBL2147304,5.1,0,http://www.openphacts.org/units/Nanomolar,1728206,=,1,1,=,,IC50,nM,,7943.28,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.1
,,12044226,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cnc(-c2c(F)ccc(F)c2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,"{'bei': '12.44', 'le': '0.24', 'lle': '1.62', 'sei': '7.53'}",CHEMBL2147309,,CHEMBL2147309,5.8,0,http://www.openphacts.org/units/Nanomolar,1728211,=,1,1,=,,IC50,nM,,1584.89,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,5.8
,,12044231,[],CHEMBL2149458,Inhibition of human Nav1.5,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ncc(-c2cc(C)cnc2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,,,CHEMBL2146409,Bioorg Med Chem Lett,2012,,CHEMBL2147313,,CHEMBL2147313,,0,http://www.openphacts.org/units/Nanomolar,1728215,<,1,1,>,,IC50,nM,,31622.78,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,pIC50,,UO_0000065,,4.5
,,12080605,[],CHEMBL2168490,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,,,CHEMBL2163233,J Med Chem,2012,"{'bei': '23.74', 'le': '0.45', 'lle': '3.66', 'sei': '15.10'}",CHEMBL698,TETRACAINE,CHEMBL698,6.28,0,http://www.openphacts.org/units/Nanomolar,1736432,=,1,1,=,,IC50,nM,,530,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,0.53
,,12081526,[],CHEMBL2168490,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2c(O)cccc2C(=O)N1CCc1ccccn1,,,CHEMBL2163233,J Med Chem,2012,,CHEMBL2164038,,CHEMBL2164038,,0,http://www.openphacts.org/units/Nanomolar,1736434,>,1,1,>,,IC50,nM,,33000,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,33
,,12081536,[],CHEMBL2168490,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CC(F)(F)c1ccccn1,,,CHEMBL2163233,J Med Chem,2012,"{'bei': '11.64', 'le': '0.22', 'lle': '1.13', 'sei': '8.00'}",CHEMBL2164363,,CHEMBL2164363,5.72,0,http://www.openphacts.org/units/Nanomolar,1736912,=,1,1,=,,IC50,nM,,1900,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,1.9
,,12081542,[],CHEMBL2168490,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCCc1ccccn1,,,CHEMBL2163233,J Med Chem,2012,"{'bei': '10.87', 'le': '0.20', 'lle': '0.67', 'sei': '7.13'}",CHEMBL2164357,,CHEMBL2164357,5.1,0,http://www.openphacts.org/units/Nanomolar,1736906,=,1,1,=,,IC50,nM,,7900,CHEMBL1980,Homo sapiens,Sodium channel protein type V alpha subunit,9606,,,IC50,uM,UO_0000065,,7.9
